No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
443,mestinya biaya pengiriman dan administrasi gratis lah udah bayar pajak mobil mahal juga,mesti biaya kirim administrasi gratis bayar pajak mobil mahal,negatif,positif,negatif
444,proses cepat bagus,proses cepat bagus,positif,positif,positif
445,Untuk perpanjang STNK 5 tahunan bisa tidak ya ??? Biaya ongkir naik 10.000.,panjang stnk tahun ya biaya ongkir,positif,positif,positif
446,susah buat verifikasi wajahnya selalu gagal mulu.. tolong di perbaiki lagi,susah verifikasi wajah gagal mulu tolong baik,negatif,negatif,negatif
447,Dulu bagus lam 4 thun tidak bisa pajak lagi mau taat pajak jadi ga,bagus lam pajak taat pajak,positif,positif,positif
448,Alhamdulillah dngn adany SIGNAL lebih mudah terimakasih banyak,alhamdulillah dngn adany signal mudah terimakasih,positif,positif,positif
449,"aplikasi mudah digunakan, sangat membantu saat membayar pajak. tidak perlu dtg ke samsat. 👍👍 dokumen juga cepat di proses&kirimnya",aplikasi mudah bantu bayar pajak samsat dokumen cepat proseskirimnya,positif,positif,positif
450,aplikasi ini sangat membantu dan mempermudah kita bayar pajak cukup dirumah saja,aplikasi bantu mudah bayar pajak rumah,positif,positif,positif
451,"ini aplikasi loading nya kebanyakan.. GK bisa apa diperbaiki, setiap kembali loading ny semenit.",aplikasi loading ya banyak baik loading nya menit,negatif,negatif,negatif
452,proses nya cepat bagus mudah tidak antre dan tidak ribet makasih pak polisi,proses ya cepat bagus mudah antre ribet polisi,positif,positif,positif
453,"semenjak pakai aplikasi signal Samsat,bayar pajak lebih mudah ga perlu repot lg datang langsung ke samsatnya",semenjak pakai aplikasi signal samsatbayar pajak mudah repot langsung samsatnya,positif,positif,positif
454,sangat mudah dan praktis,mudah praktis,positif,positif,positif
455,"Alhamdulillah membantu banget bagi saya yang sdh berkerja,..terima kasih Signal 🙏",alhamdulillah bantu banget berkerjaterima kasih signal,positif,positif,positif
456,tidak bisa daftar kendaraan,daftar kendara,negatif,negatif,negatif
457,sangat mempermudah. tapi waktu nya sampe lumayan lama.,mudah ya lumayan,positif,positif,positif
458,"tumben e-signal gacor biasanya 1bulan an baru siap urus pajak, urus tgl 28 Jan 2026 ,sampe di tangan 5feb 2026 mantap pak",tumben esignal gacor an urus pajak urus tanggal tangan februari mantap,positif,positif,positif
459,membantu masyarakat pengguna kendaraan juga,bantu masyarakat guna kendara,positif,positif,positif
460,sangat membantu bagi yg tidak punya waktu bayar pajak langsung,bantu bayar pajak langsung,positif,positif,positif
461,cepat juga,cepat,positif,positif,positif
462,"Respon cepat, Proses cepat, Paking Aman dan privasi. Pengiriman Sesuai estimasi . Efisiensi Waktu dalam Kesibukan bekerja .",respon cepat proses cepat paking aman privasi kirim sesuai estimasi efisiensi sibuk,positif,positif,positif
463,sangat mudah dan cepat 👍,mudah cepat,positif,positif,positif
464,"mau bayar Pajak aja susah banget..!!!!! bukannya di permudah..!!!! udh buat akun, udh validasi.. malah di suruh ke Samsat..!!! aplikasi bukannya mempermudah malah bikin pusing...!!!!!",bayar pajak susah banget mudah akun validasi suruh samsat aplikasi mudah bikin pusing,negatif,negatif,negatif
465,"Proses dan pengirimannya cepat, kereenn SIGNAL 👍",proses kirim cepat keren signal,positif,positif,positif
466,simple,simple,positif,positif,positif
467,"STNK datang dengan selamat tidak ada yang rusak, packing bagus. pengiriman juga cepat. hanya di proses pembuatan STNK aja harus menunggu beberapa hari mungkin karena bukan hari kerja. yang lain bagus semua pelaya",stnk selamat rusak packing bagus kirim cepat proses buat stnk tunggu kerja bagus pelaya,positif,positif,positif
468,"aplikasinya gimana sih? gagal terus, layanan tidak tersedia, tolong perbaiki, saya sangat emosi & kecewa. ini biaya operasionalnya pake uang negara kan ?",aplikasi sih gagal layan sedia tolong baik emosi kecewa biaya operasional pakai uang negara,negatif,negatif,negatif
469,cepat mudah,cepat mudah,positif,positif,positif
470,oke,oke,positif,positif,positif
471,istimewa dan bagusss,istimewa bagus,positif,positif,positif
472,"Pengalaman pertama Bayar, ternyata mudah sekali, mantap.",alam bayar mudah mantap,positif,positif,positif
473,"kenapa prosesnya lama masak sudah 6 hari masih di proses di samsat, dan belum di kirim kirim STNK nya",proses masak proses samsat kirim kirim stnk ya,negatif,positif,positif
474,sangat membantu dan cepat,bantu cepat,positif,positif,positif
475,"seperti biasa aplikasi pemerintah tidak berguna, mau bayar online malah tidak bisa, datang ke samsat katanya pakai aplikasi lebih mudah tapi malah tidak bisa, hapus aja aplikasinya, mau bayar pajak aja di persulit.",aplikasi perintah guna bayar online samsat pakai aplikasi mudah hapus aplikasi bayar pajak sulit,negatif,negatif,negatif
476,keren ini aplikasi mempermudah wajib pajak,keren aplikasi mudah wajib pajak,positif,positif,positif
477,"mudah, simpel dan cepat, aplikasi yang sangat membantu bayar pajak kendaraan terutama bagi yang tinggal di pelosok desa seperti saya.",mudah simpel cepat aplikasi bantu bayar pajak kendara tinggal pelosok desa,positif,positif,positif
478,sekarang sudah makin mudah dalam perpanjang pajak kendaraan sudah bisa diakses dari luar kota,mudah panjang pajak kendara akses kota,positif,positif,positif
479,terpercaya,percaya,positif,positif,positif
480,"Rata rata semua aplikasi yg menyangkut administrasi birokrasi gak ada yg bener. pendaftaran akun di aplikasi SIGNAL ini tidak bisa, malah aplikasi nyalahin sinyal ( periksa koneksi anda). padahal wifi saya lancar tanpa gangguan. kapan mau ber benah nya ini negeri. hal sepele aja ancurrr.",aplikasi administrasi birokrasi daftar akun aplikasi signal aplikasi salah sinyal periksa koneksi wifi lancar ganggu ber benah ya negeri sepele hancur,negatif,negatif,negatif
481,"Aplikasi Goblokkk !!!! klo ternyata Bayar pajak harus jatuh tempo seharusnya transaksi ketika Transfer Dana Gagal,Ini malah Berhasil ,setelah di Cek status pembayaran ""Mohon maaf belum jatuh Tempo Pembayaran,",aplikasi goblok bayar pajak jatuh tempo transaksi transfer dana gagalini hasil cek status bayar mohon maaf jatuh tempo bayar,negatif,negatif,negatif
482,"aplikasi tidak membantu, mau bayar pajak gagal terus. layanan tidak tersedia.",aplikasi bantu bayar pajak gagal layan sedia,negatif,negatif,negatif
483,online memang lebih di percaya....,online percaya,positif,positif,positif
484,"baru kali ini, instansi satu ini memudahkan. wkwkwk.",kali instansi mudah wkwkwk,positif,positif,positif
485,Tiap verifikasi kok langsung kluar terus....,verifikasi langsung,negatif,negatif,negatif
486,mohon pengiriman dari saat proses di samsat ke loket pos nya dipercepat,mohon kirim proses samsat loket pos ya cepat,positif,positif,positif
487,"Sangat mempermudah bayar pajak kendaraan secara online, proses bayar 30 agustus, 3 september STNK sudah sampai rumah 😍👍 bayar pajak memang jadi mudah, tapi masa data pribadi bocor, tiba2 ada yg telpon tau semua data diri, kendaraan & bahkan pembayaran pajak di signal lewat bank apa, alasan tlp buat pajak karena belum npwp 16, dimana npwp 16 itu nik ktp yg bisa disalah gunakan untuk pinjol, tolong diperbaiki lagi keamanan apk nya, sudah bagus mempermudah tapi kasihan jika yg terkena orang awam.",mudah bayar pajak kendara online proses bayar agustus september stnk rumah bayar pajak mudah data pribadi bocor telpon tau data kendara bayar pajak signal bank alas telepon pajak npwp mana npwp nik ktp salah pinjol tolong baik aman apk ya bagus mudah kasihan kena orang awam,negatif,negatif,negatif
488,Alhamdulillah sampai dalam 1 Minggu kerja,alhamdulillah minggu kerja,positif,positif,positif
489,tidak dapat stiker hologram nya,stiker hologram ya,negatif,positif,positif
490,bayar tgl 27 januari 2026 sekarang tgl 5 feb 26 blm juga di kirm itu berkas,bayar tanggal januari tanggal februari kirm berkas,negatif,negatif,negatif
491,"udah di update malah gk bisa di pakek heran gk bisa milih pembayar an nya bayar di alfa juga gk bisa, buruan bener in ini aplikasinya padahal tahun kemarin ok² aja loh, giliran di update malah gk bisa apa²",update pakai heran pilih bayar an ya bayar alfa buru aplikasi kemarin ok loh gilir update,negatif,negatif,negatif
492,"semoga bisa terupdate lagi untuk pemilihan pembayaran, minimal bisa menggunakan Qris agar mudah bertransaksi menggunakan pembayaran apa saja",moga terupdate pilih bayar minimal qris mudah transaksi bayar,positif,positif,positif
493,sangat membantu san dilancarkan semuanya. diterima juga demgam keadaan baik,bantu san lancar terima demgam,positif,positif,positif
494,Proses agak lambat Tapi Pengiriman Cepat,proses lambat kirim cepat,positif,positif,positif
495,kedepannya harap bisa juga memperpanjang plat,depan harap panjang plat,positif,positif,positif
496,mantap pokonya,mantap pokok,positif,positif,positif
497,"mantap memudahkan bagi pekerja full time, langsung sampai ke rumah",mantap mudah kerja full time langsung rumah,positif,positif,positif
498,simpel mudah aman,simpel mudah aman,positif,positif,positif
499,"Stelah update aplikasi malah tambah aneh n ribet. Data yg sblmnya sdh pernah diinputkan ke aplikasi signal dan dipakai utk pmbayaran pajak, tadinya bs digunakan dan skrg setelah update aplikasi dngn data yg sama malah gk bs dipakai. klw spt ini jgn salahkan rakyat jika tidak tertip bayar pajak tolong perbaiki bug ataw error disistem nya",update aplikasi aneh n ribet data diinputkan aplikasi signal pakai pmbayaran pajak update aplikasi dngn data pakai salah rakyat tip bayar pajak tolong baik bug ataw error sistem ya,negatif,negatif,negatif
500,lebih cepat dan memudahkan prosesnya,cepat mudah proses,positif,positif,positif
501,"waktu verifikasi wajah gagalkarna akun sudah terdaftar, lalu ketika mau bayar pajak malah gabisa, tertulis akun masih butuh verifikasi. gimana ini?",verifikasi wajah gagalkarna akun daftar bayar pajak tulis akun butuh verifikasi,negatif,negatif,negatif
502,"Keren ,mudah Simple ga capek antri duduk manis dirumah sambil ngopi stnk dianter..",keren mudah simple capek antri duduk manis rumah ngopi stnk antar,positif,positif,positif
503,mantap cepat proses dan tidak ribet,mantap cepat proses ribet,positif,positif,positif
504,lebih mudah dan praktis Bayar pajaknya terima kasih signal telah membantu.. ini chat seblm update.. habis update malah ga bisa pembayaran cek pajak kendaraan Nik harus validasi,mudah praktis bayar pajak terima kasih signal bantu chat seblm update habis update bayar cek pajak kendara nik validasi,negatif,negatif,negatif
505,"udah di update malah GK bisa bayar lewat signal harus verifikasi dulu ke Samsat, makin ribet jadinya. padahal THN kemarin GK pake virifikasi ke Samsat sekarang malah di persulit, bayar online kan maksudnya biar yang anak perantauan yang sibuk kerja GK perlu repot untuk pergi ke Samsat. padahal niatnya baik mau bayar pajak malah di persulit",update bayar signal verifikasi samsat ribet kemarin pakai virifikasi samsat sulit bayar online maksud biar anak rantau sibuk kerja repot pergi samsat niat bayar pajak sulit,negatif,negatif,negatif
506,alhamdulillah perpanjangan stnk sudah sampai dn d terima...dgn aplikasi signal semua jd mudah tanpa harus anti..terimakasih signal the best...,alhamdulillah panjang stnk terimadgn aplikasi signal mudah antiterimakasih signal the best,positif,positif,positif
507,"Sangat mudah penggunaannya, ga perlu antri lagi bayar pajak, tinggal klik, bayar, sampe. Seharusnya seperti ini Indonesia mengenai pajak, mempermudah yang akan bayar.",mudah guna antri bayar pajak tinggal klik bayar indonesia pajak mudah bayar,positif,positif,positif
508,makasih.. ga usah ribet2 ke samsat.. bayar di sini ajah.. lebih mudah,ribet samsat bayar mudah,positif,positif,positif
509,Alhamdulillah sdh lbh bertahun dan pelayanan nya oke Istiqomah terus ya pak ✨✨✨,alhamdulillah tahun layan ya oke istikamah ya,positif,positif,positif
510,"ini aplikasi apaan sih, udh coba foto selfie berkali-kali masih tetap gak diverifikasi, padahal wajah udh jelas. masih aja wajah tidak sama di KTP. heh lu kira seiring berjalan waktu rambut gw gitu-gitu aja hah?. wajah gw juga ada perubahan di setiap tahun. masa ngebaca wajah di KTP yang sama aja ga bisa. mau taat aturan aja dipersulit begini. giliran nanti melanggar ditanggung sendiri dan bayar lebih. capek banget ngurusin beginian.jangan dipersulit buat verifikasi, kalah app lu sama pinjol noh",aplikasi sih coba foto selfie berkalikali verifikasi wajah wajah ktp heh iring jalan rambut gue gitugitu hah wajah gue ubah ngebaca wajah ktp taat atur sulit gilir langgar tanggung bayar capek banget urus beginianjangan sulit verifikasi kalah app pinjol noh,negatif,negatif,negatif
511,Aplikasi yg sangat membantu sekali dan mudah di gunakan serta pelayanan yg cepat.. ⭐️⭐️⭐️⭐️⭐️,aplikasi bantu mudah layan cepat,positif,positif,positif
512,mantul,mantul,positif,positif,positif
513,Sangat membantu disaat sibuk urus pajak STNK. Pengirimannya pun cepat. Terima kasih🙏,bantu saat sibuk urus pajak stnk kirim cepat terima kasih,positif,positif,positif
514,"aplikasi ga guna, gagal terus.",aplikasi gagal,negatif,negatif,negatif
515,"buset pa terima kasi banyak cepat sekali datangnya,matur suwun",buset terima kasih cepat datangnyamatur suwun,positif,positif,positif
516,bagus..,bagus,positif,positif,positif
517,"saya pengguna baru aplikasi SIGNAL, dan sudah donlod aplikasi tsb. Yang jadi pertanyaan, utk melakukan pembayaran pajak, knp toolbar pendaftaran pengesahan STNK tidak muncul?",guna aplikasi signal donlod aplikasi bayar pajak toolbar daftar kesah stnk muncul,positif,positif,positif
518,"terimakasih,sangat membantu..",terimakasihsangat bantu,positif,positif,positif
519,"di kirim nya sesuka hati gak sesuai dgn alamat yg di bayarkan sesuai alamat yg di tujuh malah di krm ke alamat sesuai STNK, pengiriman membutuhkan waktu selama 1 bln, sangat buruk sih mnrt sy",kirim ya suka hati sesuai alamat bayar sesuai alamat tujuh kirim alamat sesuai stnk kirim butuh buruk sih mnrt,negatif,positif,positif
520,sangat membantu seperti saya yg krj d luar kota,bantu krj kota,positif,positif,positif
521,bagus & memudahkan,bagus mudah,positif,positif,positif
522,Pembayaran Pajak tahunan motor lewat aplikasi Signal menurut saya sangat bagus bisa lewat mana saja dari M-Banking & E-walet...,bayar pajak tahun motor aplikasi signal bagus mbanking ewalet,positif,positif,positif
523,salah masukin email ga bisa di edit buat verifikasi aplikasi payah,salah pasuk email edit verifikasi aplikasi payah,negatif,negatif,negatif
524,iseng nyoba 2 ternyata lebih membatu dlm transaksi.,iseng coba batu transaksi,positif,positif,positif
525,mantap top.,mantap top,positif,positif,positif
526,"proses cepat dan efisien, gak usah antri, langsung dikirim ke alamat penerima. keren👍",proses cepat efisien antri langsung kirim alamat terima keren,positif,positif,positif
527,pertama kali menggunakan SIGNAL dan sangat bagus dan bermanfaat. bahkan lebih baik dan lebih mudah drpd aplikasi daerah saya dlu,kali signal bagus manfaat mudah aplikasi daerah,positif,positif,positif
528,"sangat membantu, saran untuk kedepannya sekalian dpt fisik qr kode nya biar tidak perlu print"" lagi",bantu saran depan fisik qr kode ya biar print,positif,positif,positif
529,sangat membantu sekali apalagi kalo lagi sibuk proses nya juga gampang gak ribet,bantu sibuk proses ya gampang ribet,positif,positif,positif
530,"mantap proses gak lama, gak ngantri semoga kedepannya tambah mantap, bayar pajak klau begini jadi gak susah susah pokoknya mantap. klau bisa ada layanan SIM malah tambah mantap komandan",mantap proses antri moga depan mantap bayar pajak susah susah pokok mantap layan sim mantap komandan,positif,positif,positif
531,jos..,jos,positif,positif,positif
532,puas tingkatkan untuk lapor jual nya,puas tingkat lapor jual ya,positif,positif,positif
533,"sangat membantu bahkan hari liburpun skrg kt bisa bayar pajak berkat aplikasi signal,jossss bgt pokok y. N/B sayang y pengirimanya kl bisa jgn lewat kantor pos lambat bahkan punya saya saya ambil sendiri gara"" g di kirim""",bantu libur bayar pajak berkat aplikasi signaljossss banget pokok ya nb sayang ya pengirimanya kantor pos lambat ambil gara kirim,positif,positif,positif
534,"Sejauh ini tidak ada kendala, paling menarik layanan pengiriman dokumen SKKP nya, jadi ga perlu repot repot datang ke samsat, cocok buat yang sibuk atau yang mager.",kendala tarik layan kirim dokumen skkp ya repot repot samsat cocok sibuk mager,positif,positif,positif
535,"lebih ditingkatkan lagi aplikasinya belom maximal, masak email nya dah betul disuruh verifikasih terus, diverifikasigagal terus.",tingkat aplikasi maximal masak email ya suruh verifikasih diverifikasigagal,negatif,negatif,negatif
536,mantap 3 hari sampai,mantap,positif,positif,positif
537,Sangat mempermudah.. Proses & pengiriman cepat..,mudah proses kirim cepat,positif,positif,positif
538,Keren... Nggak nyangka cepet dan gampang... Pengiriman cepat thanks 🙏,keren sangka cepat gampang kirim cepat thanks,positif,positif,positif
539,jelek kebnyakan verifikasi. cuman mau cek pajak banyak prsyaratan,jelek kebnyakan verifikasi cuman cek pajak prsyaratan,negatif,negatif,negatif
540,"mantap , proses simpel , cepat dan aplikasi juga usee friendly",mantap proses simpel cepat aplikasi usee friendly,positif,positif,positif
541,mempermudah kami dalam pembayaran pajak kendaraan bermotor tanpa harus ke Samsat lg.,mudah bayar pajak kendara motor samsat,positif,positif,positif
542,"aplikasi tidak berguna, semua layanan tidak tersedia.. terus layanan apa yang tersedia.. menghabiskan waktu saya saja untuk mencoba nya. dan kenapa bisa ga ada fitur hapus akun? saya mau menghapus aku saya 🙄🙄",aplikasi guna layan sedia layan sedia habis coba ya fitur hapus akun hapus,negatif,negatif,negatif
543,mempermudah transaksi pajak,mudah transaksi pajak,positif,positif,positif
544,alhamdulillah suka,alhamdulillah suka,positif,positif,positif
545,rada cepet,rada cepat,positif,positif,positif
546,kenapa mau claim verifikasi email gabisa2 dan ga dikirim2 ke alamat email nya mohon bantuan nya,claim verifikasi email kirim alamat email ya mohon bantu ya,positif,positif,positif
547,"kecewa udah dicoba berkali"" kode pembayaran bermasalah",kecewa coba kali kode bayar masalah,negatif,negatif,negatif
548,"Saya pertama x mencoba membayar pajak dari aplikasi SIGNAL ini dan terbukti cepat serta Transparan, adapun kendala dari kerjasama Aplikasi SIGNAL dengan Kurir pihak ke 3 yaitu Kantor Pos karena saya tinggal di daerah pelosok jadi Paket STNK FISIK saya diaplikasi keterangan nya (Rumah kosong, rumah tidak ditemukan) padahal saya selalu dirumah dan paket lain dari olshop Dateng aman2 aja. setelah saya datangin kantor POS terdekat paket saya ada dsana krna tdak ada kurir rider untuk antar.",kali coba bayar pajak aplikasi signal bukti cepat transparan kendala kerjasama aplikasi signal kurir kantor pos tinggal daerah pelosok paket stnk fisik aplikasi terang ya rumah kosong rumah temu rumah paket olshop aman datangin kantor pos dekat paket sana kurir rider,positif,positif,positif
549,Sangat membantu sekali..mantap pokoknya,bantu sekalimantap pokok,positif,positif,positif
550,cepat dan mudah,cepat mudah,positif,positif,positif
551,alhamdulillah sudah sampai,alhamdulillah,positif,positif,positif
552,terlalu lama pengiriman nya pembayaran 2 Januari baru dikirim 2 februari,kirim ya bayar januari kirim februari,negatif,negatif,negatif
553,mohon maaf ini kenapa ya muter muter loading hampir 2 jam ga bisa daftar ? whyyyyyyyy,mohon maaf ya muter muter loading jam daftar whyyyyyyyy,negatif,negatif,negatif
554,aplikasi jadi gak bisa buka setelah update..,aplikasi buka update,negatif,negatif,negatif
555,sampahh aplikasi ini belum optimal.,sampahh aplikasi optimal,negatif,positif,positif
556,kecewa bgt stelah apk d update loading'a jd lama bgt pegel nungguin'a 😡,kecewa banget apk update loadinga banget gel nungguina,negatif,negatif,negatif
557,apl gaguna mau login aja susah apalagi aparatnya,apl gaguna login susah aparat,negatif,negatif,negatif
558,Terimaksih unt SIGNAL(Samsat digital Nasional) lebih di permudah unt pembayaran pajak kendaraan dan proses cepat .,unt signalsamsat digital nasional mudah unt bayar pajak kendara proses cepat,positif,positif,positif
559,"aplikasi sangat lemot dan tidak bisa mengakses lebihh cepat harus nunggu 1-3 mnt baru bisa terbuka mohon aplikasi nya di update biar lebih cepat dan mengakses nya lebih mudah.saya udah menggunakan wifi dan paket data 6G masih sangat lemot banget, sering koneksi putus padahal sinyal dan internet stabil",aplikasi lot akses lebihh cepat tunggu buka mohon aplikasi ya update biar cepat akses ya mudahsaya wifi paket data lot banget koneksi putus sinyal internet stabil,negatif,negatif,negatif
560,di update bukan nya makin lancar malah lemot tolol,update ya lancar lot tolol,negatif,negatif,negatif
561,setelah update app nya jadi aneh percuma kalau tampilan bagus tetapi tidak berfungsi,update app ya aneh tampil bagus fungsi,negatif,negatif,negatif
562,aplikasi buruk. gak bisa dikases internet 150 mbps. wkwkwk,aplikasi buruk dikases internet mbps wkwkwk,negatif,negatif,negatif
563,"INNALILLAHIII LAMA BANGET NI APK. MANA GAGAL MULU BILANGNYA KONEKSI INTERNET. UDAH MAKE SEMUA JARINGAN + WIFI JUGA TETEP AJA BEGITU TIMES OUT. APALAGI KALAU BANYAK YANG DAFTAR MAKIN ANCUR DAH, MANA PAS LOGIN CUMAN MUAT BERANDA AJA SEGALA LOLANYA NAUDZUBILLAH",innalillahiii banget nih apk gagal mulu bilang koneksi internet pakai jaring wifi times out daftar hancur pas login cuman muat beranda lolanya naudzubillah,negatif,negatif,negatif
564,Di update malah lemot!!!!,update lot,negatif,negatif,negatif
565,"berat, sering gagal",berat gagal,negatif,negatif,negatif
566,"aplikasi sampah! ga guna fiturnya ga ada yg bisa dipakai, percuma anggaran mahal kalo bentukan aplikasinya kek gini!",aplikasi sampah fiturnya pakai anggar mahal bentuk aplikasi kayak,negatif,negatif,negatif
567,aplikasi kecil tpi diakses susahnya minta ampun. verifikasi foto ktp ngga bisa jg alesannya ngga sesuai antara foto sama yg diktp. hello pak ini ktp udah 10 taun lebih. ye kali wajah masih sama plek.,aplikasi akses susah ampun verifikasi foto ktp alesannya sesuai foto diktp hello ktp ye kali wajah plek,negatif,negatif,negatif
568,"proses lama, mau bayar pajak gagal terus, katanya harus ke samsat langsung",proses bayar pajak gagal samsat langsung,negatif,negatif,negatif
569,setelah update makin jelek klik menu satu loadingnya lamaa bgt,update jelek klik menu loadingnya lamaa banget,negatif,negatif,negatif
570,"masi 4 dlu, tolong di perbaiki metode pembayarannya dan pengirimannya dokumen karna selalu tidak ada pilihan kirim atau tidaknya dan setelah selesai mengisi alamat, alamatnya tidak tersimpan. Terimakasiih",tolong baik metode bayar kirim dokumen pilih kirim tidak selesai isi alamat alamat simpan terimakasiih,positif,positif,positif
571,tolong saya gagal terus saat verifikasi. infonnya foto tidak sesuai dengan KTP,tolong gagal verifikasi infonnya foto sesuai ktp,negatif,negatif,negatif
572,di update bukannya bagus malah leg cuma mau kembali doang bermenit menit makin lama,update bagus leg doang menit menit,negatif,negatif,negatif
573,"mohon diperbaiki kenapa setelah update malah jadi tidak bisa bayar, kenapa di-update kalau sudah bagus, mohon dibantu untuk diperbaiki dan dipermudah. kami yang selalu bayar pajak, kami juga yg di sulitkan.",mohon baik update bayar diupdate bagus mohon bantu baik mudah bayar pajak sulit,negatif,negatif,negatif
574,"aplikasi membantu banget,tapi kenapa suka lemot ya pas masuk padahal sinyal di hp normal"" aja,dan untuk pengiriman lama saya ngajuin dari tgl 30 januari sampe sekarang belom di kirim"" juga ,padahal bayar yg expres ,ini aplikasi muter terus pas mau di cek,tolong dong di perbaiki lagi min",aplikasi bantu bangettapi suka lot ya pas masuk sinyal hp normal ajadan kirim aju tanggal januari kirim bayar expres aplikasi muter pas cektolong baik min,negatif,negatif,negatif
575,aplikasi susah padahal data sudah benar sinyal bagus malah gak bisa loh ini.. gak niat,aplikasi susah data sinyal bagus loh niat,negatif,negatif,negatif
576,"Daftar akun gagal terus dan loading lama, padahal internet sedang bagus",daftar akun gagal loading internet bagus,negatif,negatif,negatif
577,Mau bayar pajak aja loadnyaa lama banget error terus-terusan jelas-jelas koneksinya bagus Konsepnya yang memudahkan malah menyusahkan. Tolong di perbaiki lagi,bayar pajak loadnyaa banget error terusterusan jelasjelas koneksi bagus konsep mudah susah tolong baik,negatif,negatif,negatif
578,semkin mudah utk bayar pajak kendaraan,semkin mudah bayar pajak kendara,positif,positif,positif
579,"muter"" aja terus, sampe bosen liat loading nya.",muter bosan lihat loading ya,negatif,negatif,negatif
580,"setelah update kenapaa jadi lemot bgt sih,padahal mau bayar pajak!!!",update lot banget sihpadahal bayar pajak,negatif,negatif,negatif
581,aplikasi tidak bisa digunakan dicoba berulang-ulang tetap saja tidak bisa melakukan cek pajak dan bayar pajak,aplikasi coba berulangulang cek pajak bayar pajak,negatif,negatif,negatif
582,aplikasi lelet lemot lambat loading,aplikasi lelet lot lambat loading,negatif,negatif,negatif
583,"aplikasi bagus ada kendala langsung past respon, semakin mudah untuk bayar pajak dimanapun dan kapanpun...",aplikasi bagus kendala langsung respon mudah bayar pajak mana,positif,positif,positif
584,"Server tidak handal dalam akses informasi, dan pembayaran selalu gagal, aturan yang tidak jelas, serta data diri rentan dibajak, pelanggaran privasi juga terjadi dikarenakan data yang bocor ditemukan tersebar di internet",server handal akses informasi bayar gagal atur data rentan bajak langgar privasi data bocor temu sebar internet,negatif,negatif,negatif
585,pak.aplikasi ya tambahin dong untuk bikin sim baru.baru bisa kebantu untuk rakyat.jadi kita semua bisa punya sim.terimakasih pak,pakaplikasi ya tambah bikin sim barubaru bantu rakyatjadi simterimakasih,positif,positif,positif
586,sangat membantu yg di perantauan,bantu rantau,positif,positif,positif
587,"untuk daftar akun sangat sulit, seperti dipersulit untuk bayar online",daftar akun sulit sulit bayar online,negatif,negatif,negatif
588,masukan 5 digit no rangka terakhit contoh A1234 sedangkan aplikasi tidak bisa untuk mengetik huruf di kolom ini.tolong di perbarui,masuk digit no rangka terakhit contoh a aplikasi etik huruf kolom initolong baru,negatif,negatif,negatif
589,"sangat membantu,,kl bs ongkirnya jgn mahal2,😁",membantukl ongkirnya mahal,positif,positif,positif
590,baru kali ini saya bayar pajak online Alhamdulillah jangka waktu 3 hari sudah smpai rumah trimakasih,kali bayar pajak online alhamdulillah jangka rumah trimakasih,positif,positif,positif
591,pelayanannya okay dan tepat waktu,layan okay,positif,positif,positif
592,tahun lalu masih bisa saya pakai daftar pengesahan. untuk wilayah sulawesi tengah. tapi di tahun 2025 ini tidak bisa pakai bayar pajak. lagi. kenapa kah... dan kenapa mesti di batasi wilayah nya.. tolong dong segera di sempurnakan aplikasi nya,pakai daftar kesah wilayah sulawesi pakai bayar pajak kah mesti batas wilayah ya tolong sempurna aplikasi ya,positif,negatif,positif
593,tidak bisa di gunakan!!!!,nan,negatif,positif,positif
594,"SEMENJAK DI PERBARUI APLIKASI JADI ANEH DAN LEMOT GAJELAS, TOLONG DI PERHATIKAN NIH BUAT SIGNAL",semenjak baru aplikasi aneh lot tolong perhati nih signal,negatif,negatif,negatif
595,alhamdulillah bisa ngurus secara online lebih murah.. gak kena calo lagi kalau mengurus langsung ke kantor samsat lebih mahal,alhamdulillah urus online murah kena calo urus langsung kantor samsat mahal,positif,positif,positif
596,"Simple,praktis",simplepraktis,positif,positif,positif
597,"Uda foto KTP Selfi wajah,, tidak bisa juga cek pajak🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️",foto ktp selfi wajah cek pajak,negatif,negatif,negatif
598,Alhamdulillah mantaap Pooolll.. mempermudah waktu dan jarak.. baru Luar Biasa nih..,alhamdulillah mantap pooolll mudah jarak nih,positif,positif,positif
599,"aman,cepat, dan tepat",amancepat,positif,positif,positif
600,"Bagus, proses cepat dan memudahkan yg berada di luar kota",bagus proses cepat mudah kota,positif,positif,positif
601,"apaan ngak bisa bayar pajak lewat sini, kenapa aplikasi pemerintah ngak ada yg bisa d percaya",bayar pajak aplikasi perintah percaya,negatif,negatif,negatif
602,akses app ini di jam 8 pagi Alhamdulillah aman ga gagal mulu dan setelah coba transaksi prosesnya mudah dan nyaman.,akses app jam pagi alhamdulillah aman gagal mulu coba transaksi proses mudah nyaman,positif,positif,positif
603,terbaik,baik,positif,positif,positif
604,mantap sekali semua semakin mudah,mantap mudah,positif,positif,positif
605,sementara b1 dulu karena masih banyak kendala seperti server dan pembayaran eror,b kendala server bayar eror,negatif,negatif,negatif
